"","filecoverage","totalcoverage"
"R/absDS.R",100,30.84
"R/asCharacterDS.R",100,30.84
"R/asDataMatrixDS.R",100,30.84
"R/asFactorDS1.R",62.5,30.84
"R/asFactorDS2.R",100,30.84
"R/asFactorSimpleDS.R",100,30.84
"R/asIntegerDS.R",100,30.84
"R/asListDS.R",100,30.84
"R/asLogicalDS.R",100,30.84
"R/asMatrixDS.R",100,30.84
"R/asNumericDS.R",100,30.84
"R/aucDS.R",86.67,30.84
"R/blackBoxDS.R",0,30.84
"R/blackBoxRanksDS.R",0,30.84
"R/BooleDS.R",75,30.84
"R/boxPlotGG_data_Treatment_numericDS.R",0,30.84
"R/boxPlotGG_data_TreatmentDS.R",0,30.84
"R/boxPlotGGDS.R",0,30.84
"R/bp_standardsDS.R",88.89,30.84
"R/cbindDS.R",77.78,30.84
"R/cDS.R",100,30.84
"R/changeRefGroupDS.R",100,30.84
"R/checkNegValueDS.R",100,30.84
"R/checkPermissivePrivacyControlLevel.R",80,30.84
"R/classDS.R",100,30.84
"R/colnamesDS.R",100,30.84
"R/completeCasesDS.R",72.73,30.84
"R/corDS.R",82.35,30.84
"R/corTestDS.R",100,30.84
"R/covDS.R",60.14,30.84
"R/dataFrameDS.R",65.38,30.84
"R/dataFrameFillDS.R",93.33,30.84
"R/dataFrameSortDS.R",77.78,30.84
"R/dataFrameSubsetDS1.R",52.54,30.84
"R/dataFrameSubsetDS2.R",41.23,30.84
"R/densityGridDS.R",86.36,30.84
"R/dimDS.R",100,30.84
"R/dmtC2SDS.R",0,30.84
"R/elsplineDS.R",0,30.84
"R/expDS.R",100,30.84
"R/extract.R",100,30.84
"R/extractQuantilesDS1.R",0,30.84
"R/extractQuantilesDS2.R",0,30.84
"R/gamlssDS.R",74.76,30.84
"R/getWGSRDS.R",79.75,30.84
"R/glmDS1.R",0,30.84
"R/glmDS2.R",0,30.84
"R/glmerSLMADS.assign.R",0,30.84
"R/glmerSLMADS2.R",0,30.84
"R/glmPredictDS.ag.R",0,30.84
"R/glmPredictDS.as.R",0,30.84
"R/glmSLMADS.assign.R",0,30.84
"R/glmSLMADS1.R",0,30.84
"R/glmSLMADS2.R",0,30.84
"R/glmSummaryDS.ag.R",0,30.84
"R/glmSummaryDS.as.R",0,30.84
"R/heatmapPlotDS.R",0,30.84
"R/hetcorDS.R",100,30.84
"R/histogramDS1.R",0,30.84
"R/histogramDS2.R",0,30.84
"R/igb_standardsDS.R",58.12,30.84
"R/isNaDS.R",100,30.84
"R/isValidDS.R",94.12,30.84
"R/kurtosisDS1.R",83.33,30.84
"R/kurtosisDS2.R",90.91,30.84
"R/lengthDS.R",100,30.84
"R/levelsDS.R",76.92,30.84
"R/lexisDS1.R",0,30.84
"R/lexisDS2.R",0,30.84
"R/lexisDS3.R",0,30.84
"R/listDisclosureSettingsDS.R",100,30.84
"R/listDS.R",100,30.84
"R/lmerSLMADS.assign.R",0,30.84
"R/lmerSLMADS2.R",0,30.84
"R/logDS.R",100,30.84
"R/lsDS.R",84.62,30.84
"R/lsplineDS.R",0,30.84
"R/matrixDetDS1.R",0,30.84
"R/matrixDetDS2.R",0,30.84
"R/matrixDiagDS.R",0,30.84
"R/matrixDimnamesDS.R",0,30.84
"R/matrixDS.R",0,30.84
"R/matrixInvertDS.R",0,30.84
"R/matrixMultDS.R",0,30.84
"R/matrixTransposeDS.R",0,30.84
"R/meanDS.R",100,30.84
"R/meanSdGpDS.R",84.21,30.84
"R/mergeDS.R",0,30.84
"R/messageDS.R",100,30.84
"R/metadataDS.R",80,30.84
"R/miceDS.R",53.33,30.84
"R/minMaxRandDS.R",85.71,30.84
"R/namesDS.R",70.59,30.84
"R/nsDS.R",0,30.84
"R/numNaDS.R",33.33,30.84
"R/qlsplineDS.R",0,30.84
"R/quantileMeanDS.R",90,30.84
"R/rangeDS.R",80,30.84
"R/ranksSecureDS1.R",0,30.84
"R/ranksSecureDS2.R",0,30.84
"R/ranksSecureDS3.R",0,30.84
"R/ranksSecureDS4.R",0,30.84
"R/ranksSecureDS5.R",0,30.84
"R/rbindDS.R",100,30.84
"R/rBinomDS.R",100,30.84
"R/recodeLevelsDS.R",83.33,30.84
"R/recodeValuesDS.R",78.08,30.84
"R/repDS.R",0,30.84
"R/replaceNaDS.R",69.23,30.84
"R/reShapeDS.R",0,30.84
"R/rmDS.R",89.47,30.84
"R/rNormDS.R",100,30.84
"R/rowColCalcDS.R",78.57,30.84
"R/rPoisDS.R",100,30.84
"R/rUnifDS.R",100,30.84
"R/sampleDS.R",65.83,30.84
"R/scatterPlotDS.R",0,30.84
"R/seqDS.R",58.82,30.84
"R/setFilterDS.R",100,30.84
"R/setSeedDS.R",100,30.84
"R/skewnessDS1.R",83.33,30.84
"R/skewnessDS2.R",90.91,30.84
"R/sqrtDS.R",100,30.84
"R/subsetByClassDS.R",95.65,30.84
"R/subsetByClassHelper1.R",61.9,30.84
"R/subsetByClassHelper2.R",67.74,30.84
"R/subsetByClassHelper3.R",63.33,30.84
"R/subsetDS.R",39.62,30.84
"R/table1DDS.R",0,30.84
"R/table2DDS.R",0,30.84
"R/tableDS.assign.R",0,30.84
"R/tableDS.R",0,30.84
"R/tableDS2.R",0,30.84
"R/tapplyDS.assign.R",28.37,30.84
"R/tapplyDS.R",52.08,30.84
"R/testObjExistsDS.R",100,30.84
"R/uniqueDS.R",100,30.84
"R/unListDS.R",66.67,30.84
"R/utils.R",100,30.84
"R/varDS.R",100,30.84
"R/vectorDS.R",100,30.84
